Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,County,Constituency,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation,Facility Type NAME
182,FREE-AREA MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,NAKURU MUNI.,BARUTI,NAKURU,SUBUKIA,BARUTI,1:50000 MAPS,6,PRIV,"(-0.33099900000, 36.04823800000)",Private Clinics and Medical centres
184,GOLDSMITH CLINIC,2781,RIFT VALLEY,NAKURU,NAIVASHA,HELL'S GATE,NAKURU,SUBUKIA,OLKARIA,GPS,6,PRIV,"(-0.82261000000, 36.32977000000)",Private Clinics and Medical centres
191,KENLANDS CLINIC,0,RIFT VALLEY,NAKURU,NAKURU MUNI.,KAPTEMBWO,NAKURU,SUBUKIA,VIWANDA,GPS,6,PRIV,"(-0.29617000000, 36.06129000000)",Private Clinics and Medical centres
192,KEROL HEALTH CENTRE CLINIC,4432,RIFT VALLEY,NAKURU,KERINGET,KERINGET,NAKURU,SUBUKIA,KERINGET(NAKURU),GPS,6,PRIV,"(-0.42720000000, 35.68917000000)",Private Clinics and Medical centres
194,LAKELAND MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,LAKE VIEW,ILRI TOWNS,6,PRIV,"(-0.72179800000, 36.43752300000)",Private Clinics and Medical centres
195,LAKEVIEW MED CLINIC,0,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,SOKONI(NAKURU),GPS,6,PRIV,"(-0.71833000000, 36.43939000000)",Private Clinics and Medical centres
196,LANGA MEDICAL CENTRE,4604,RIFT VALLEY,NAKURU,NAKURU MUNI.,KAPTEMBWO,NAKURU,SUBUKIA,VIWANDA,GPS,6,PRIV,"(-0.30135000000, 36.06443000000)",Private Clinics and Medical centres
201,MAU NAROK MEDICAL CLINIC,4437,RIFT VALLEY,NAKURU,MAU NAROK,MAU NAROK,NAKURU,SUBUKIA,SIAPEI,ILRI MKT CENTRE,6,PRIV,"(-0.59623900000, 36.00565000000)",Private Clinics and Medical centres
202,MEDICARE CLINIC,0,RIFT VALLEY,NAKURU,MOLO,MOLO,NAKURU,SUBUKIA,MOLO,GPS,6,PRIV,"(-0.24218000000, 35.72805000000)",Private Clinics and Medical centres
204,MOLO DENTAL AND MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,MOLO,MOLO,NAKURU,SUBUKIA,MOLO,GPS,6,PRIV,"(-0.23895000000, 35.72669000000)",Private Clinics and Medical centres
205,"MUGUMO MEDICAL, FP CLINIC AND LABORATORY",0,RIFT VALLEY,NAKURU,BAHATI,SOLAI,NAKURU,SUBUKIA,KILIMA(NAKURU),ILRI VILLAGES,6,PRIV,"(-0.15000000000, 36.10000000000)",Private Clinics and Medical centres
207,NAIVASHA MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,SOKONI(NAKURU),ILRI MKT CENTRE,6,PRIV,"(-0.71009600000, 36.43552100000)",Private Clinics and Medical centres
208,NAIVASHA NORTH LAKE CLINIC,2753,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,SOKONI(NAKURU),ILRI VILLAGES,6,PRIV,"(-0.72000000000, 36.43000000000)",Private Clinics and Medical centres
213,NJORO MEDICAL CENTRE,0,RIFT VALLEY,NAKURU,NJORO,NJORO,NAKURU,SUBUKIA,NJORO(NAKURU),ILRI MKT CENTRE,6,PRIV,"(-0.32924900000, 35.94411600000)",Private Clinics and Medical centres
220,REMBO MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,BAHATI,BAHATI,NAKURU,SUBUKIA,BAHATI,SUBLOC CENTROID,6,PRIV,"(-0.17548200000, 36.13855800000)",Private Clinics and Medical centres
221,RHEMS MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,SOKONI(NAKURU),GPS,6,PRIV,"(-0.71618000000, 36.43381000000)",Private Clinics and Medical centres
225,SHER AGENCIES CLINIC,0,RIFT VALLEY,NAKURU,NAIVASHA,HELL'S GATE,NAKURU,SUBUKIA,OLKARIA,1:50000 MAPS,6,PRIV,"(-0.82432400000, 36.37297300000)",Private Clinics and Medical centres
228,ST. ELIZABETH MEDICAL CENTRE,0,RIFT VALLEY,NAKURU,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,AFRAHA,GPS,6,PRIV,"(-0.29856000000, 36.07305000000)",Private Clinics and Medical centres
230,ST. MARK'S MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,GILGIL,GILGIL,NAKURU,SUBUKIA,GILGIL,ILRI MKT CENTRE,6,PRIV,"(-0.49609800000, 36.32341800000)",Private Clinics and Medical centres
231,STAR MEDICAL CLINIC,0,RIFT VALLEY,NAKURU,NAKURU MUNI.,KAPTEMBWO,NAKURU,SUBUKIA,VIWANDA,GPS,6,PRIV,"(-0.31183000000, 36.06783000000)",Private Clinics and Medical centres
237,VICTORY MEDICAL SERVICES,0,RIFT VALLEY,NAKURU,NAIVASHA,HELL'S GATE,NAKURU,SUBUKIA,OLKARIA,GPS,6,PRIV,"(-0.81612000000, 36.31990000000)",Private Clinics and Medical centres
239,WHOLE FAMILY MEDICAL CLINIC,4605,RIFT VALLEY,NAKURU,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,AFRAHA,GPS,6,PRIV,"(-0.28329000000, 36.07559000000)",Private Clinics and Medical centres
95,AFYA CLINIC,0,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,NANDI,MOSOP,KAPNGETUNY(KAPSABET),ILRI MKT CENTRE,6,PRIV,"(0.20709100000, 35.10747700000)",Private Clinics and Medical centres
96,CHAMASIS MEDICAL CLINIC,0,RIFT VALLEY,NANDI,NANDI HILLS,NANDI HILLS,NANDI,MOSOP,KAPNGETUNY(N. HILLS),ILRI MKT CENTRE,6,PRIV,"(0.10781400000, 35.18312800000)",Private Clinics and Medical centres
97,DR. NGETICH CLINIC,0,RIFT VALLEY,NANDI,KIPKAREN,NDALAT,NANDI,MOSOP,KAIGAT,DHMT,6,PRIV,"(0.50274200000, 35.12523000000)",Private Clinics and Medical centres
100,KAPSABET MEDICAL CLINIC,0,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,NANDI,MOSOP,TOWNSHIP(KAPSABET),ILRI VILLAGES,6,PRIV,"(0.20000000000, 35.10000000000)",Private Clinics and Medical centres
105,LELMOKWO CLINIC,3667,RIFT VALLEY,NANDI,KOSIRAI,LELMOKWO,NANDI,MOSOP,LELMOKWO,ILRI VILLAGES,6,PRIV,"(0.40000000000, 35.15000000000)",Private Clinics and Medical centres
106,MEDVET CENTRE,0,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,NANDI,MOSOP,TOWNSHIP(KAPSABET),DHMT,6,PRIV,"(0.20521900000, 35.10828100000)",Private Clinics and Medical centres
107,NANDI HILLS DOCTOR'S SCHEME,0,RIFT VALLEY,NANDI,NANDI HILLS,NANDI HILLS,NANDI,MOSOP,KIPSAMOO,ILRI VILLAGES,6,PRIV,"(0.12000000000, 35.18000000000)",Private Clinics and Medical centres
72,CENTRAL MEDICAL CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,ILRI TOWNS,6,PRIV,"(-1.09776300000, 35.86381100000)",Private Clinics and Medical centres
73,DR. CHULA CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
74,DR. GICHUI CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
76,DR. OTURO MEDICAL CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
0,ENDONYO RASHA CLINIC,0,RIFT VALLEY,NAROK,MARA,OLDERKESI,NAROK,NAROK SOUTH,OLDERKESI,DHMT,6,PRIV,"(-1.75866200000, 35.57119800000)",Private Clinics and Medical centres
79,GLORY MEDICAL CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
0,GRACE WANGUI CLINIC,0,RIFT VALLEY,NAROK,OLOLULUNGA,MELELO,NAROK,NAROK SOUTH,MELELO,DHMT,6,PRIV,"(-0.86712300000, 35.63240700000)",Private Clinics and Medical centres
0,KIPTENDEN PRIVATE CLINIC,0,RIFT VALLEY,NAROK,MULOT,MULOT,NAROK,NAROK SOUTH,NKIITO,DHMT,6,PRIV,"(-0.90745800000, 35.48842800000)",Private Clinics and Medical centres
84,KISIRICHIH MEDICAL CLINIC,0,RIFT VALLEY,NAROK,OLOKURTO,ENABELIBEL,NAROK,NAROK SOUTH,KISIRIRI,HD MAPS,6,PRIV,"(-0.93335900000, 35.88620000000)",Private Clinics and Medical centres
85,L.M.N. MEDICAL CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,SUBLOC CENTROID,6,PRIV,"(-1.11007500000, 35.85342000000)",Private Clinics and Medical centres
86,MANYATTA MEDICAL CLINIC,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
91,MULAT MEDICAL CLINIC,0,RIFT VALLEY,NAROK,MULOT,MULOT,NAROK,NAROK SOUTH,MULOT,HD MAPS,6,PRIV,"(-0.92920900000, 35.44290000000)",Private Clinics and Medical centres
92,NAIREGI MEDICAL CLINIC,0,RIFT VALLEY,NAROK,MAU,KEEKONYOKIE,NAROK,NAROK SOUTH,KEEKONYOKIE,HD MAPS,6,PRIV,"(-1.05821000000, 36.14640000000)",Private Clinics and Medical centres
0,NALEPO MED SERVICES,0,RIFT VALLEY,NAROK,MAU,NTULELE,NAROK,NAROK SOUTH,NTULELE(NAROK),DHMT,6,PRIV,"(-1.09800500000, 36.06225600000)",Private Clinics and Medical centres
93,NAMELOK MEDICAL CLINIC,0,RIFT VALLEY,NAROK,MAU,KEEKONYOKIE,NAROK,NAROK SOUTH,KEEKONYOKIE,HD MAPS,6,PRIV,"(-1.05495000000, 36.14660000000)",Private Clinics and Medical centres
0,NARAMET OUTPATIENT MED SERVICES,0,RIFT VALLEY,NAROK,MARA,OLKINYEI,NAROK,NAROK SOUTH,NARASHA,DHMT,6,PRIV,"(-1.28298900000, 35.51416300000)",Private Clinics and Medical centres
94,NAROK MEDICAL AND LAB SERVICES,0,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,NAROK TOWN,HD MAPS,6,PRIV,"(-1.08628000000, 35.85700000000)",Private Clinics and Medical centres
96,OLKURTO MEDICAL CLINIC,0,RIFT VALLEY,NAROK,OLOKURTO,OLOKURTO,NAROK,NAROK SOUTH,OLOKURTO,HD MAPS,6,PRIV,"(-0.66913200000, 35.79050000000)",Private Clinics and Medical centres
0,OLMEKENYU MED CLINIC,0,RIFT VALLEY,NAROK,OLOLULUNGA,MELELO,NAROK,NAROK SOUTH,MELELO,DHMT,6,PRIV,"(-0.85738700000, 35.62823300000)",Private Clinics and Medical centres
97,OLOLETE CLINIC,475,RIFT VALLEY,NAROK,LOITA,OLORTE,NAROK,NAROK SOUTH,OLORTE,DHMT,6,PRIV,"(-1.94642600000, 35.83411600000)",Private Clinics and Medical centres
99,OLULUNGA CENTRAL CLINIC,0,RIFT VALLEY,NAROK,OLOLULUNGA,OLOLULUNGA,NAROK,NAROK SOUTH,OLOLULUNGA,HD MAPS,6,PRIV,"(-0.99162700000, 35.64480000000)",Private Clinics and Medical centres
46,ALPHA MEDICAL CLINIC,0,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,SAMBURU,SAMBURU NORTH,MARALAL TOWN,GPS,6,PRIV,"(1.10251000000, 36.69848000000)",Private Clinics and Medical centres
47,COMMUNITY MED CLINIC,0,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,SAMBURU,SAMBURU NORTH,NGARI,GPS,6,PRIV,"(1.09895000000, 36.70090000000)",Private Clinics and Medical centres
48,MARALAL CLINIC,0,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,SAMBURU,SAMBURU NORTH,NGARI,GPS,6,PRIV,"(1.09749000000, 36.70131000000)",Private Clinics and Medical centres
49,NAMELOK MED CLINIC,0,RIFT VALLEY,SAMBURU,LORROKI,SUGUTA MARMAR,SAMBURU,SAMBURU NORTH,LOGORATE,GPS,6,PRIV,"(0.82988000000, 36.69061000000)",Private Clinics and Medical centres
50,PIMS MED CLINIC,0,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,SAMBURU,SAMBURU NORTH,MARALAL TOWN,GPS,6,PRIV,"(1.10053000000, 36.69750000000)",Private Clinics and Medical centres
0,CHANGINA DISP,0,RIFT VALLEY,TRANS MARA,PIRRAR,OLOLMASANI,NAROK,NAROK SOUTH,ABOSSI,DHMT,6,PRIV,"(-0.92717400000, 35.09694300000)",Private Clinics and Medical centres
0,CHEMAMIT DISP,0,RIFT VALLEY,TRANS MARA,KIRINDONI,EMARTI,NAROK,NAROK SOUTH,CHEMAMIT,DHMT,6,PRIV,"(-0.96223300000, 35.10746200000)",Private Clinics and Medical centres
0,KURESEIT DISP,0,RIFT VALLEY,TRANS MARA,PIRRAR,OLOLMASANI,NAROK,NAROK SOUTH,ABOSSI,DHMT,6,PRIV,"(-0.91081200000, 35.06888800000)",Private Clinics and Medical centres
53,MEDICARE CLINIC,0,RIFT VALLEY,TRANS MARA,KILGORIS,OLOLCHANI,NAROK,NAROK SOUTH,KILGORIS,TRANSMARA DEV. PROG.,6,PRIV,"(-1.00840000000, 34.87520000000)",Private Clinics and Medical centres
0,MOGOR CLINIC,0,RIFT VALLEY,TRANS MARA,KIRINDONI,ESOIT NAIBOR,NAROK,NAROK SOUTH,ESOIT NAIBOR,DHMT,6,PRIV,"(-1.05105000000, 34.97069900000)",Private Clinics and Medical centres
0,MUKONDO DISP,0,RIFT VALLEY,TRANS MARA,KIRINDONI,KIMINTET,NAROK,NAROK SOUTH,KIRINDONI,DHMT,6,PRIV,"(-1.10948300000, 35.09694300000)",Private Clinics and Medical centres
55,SAVIMBI CLINIC,0,RIFT VALLEY,TRANS MARA,KIRINDONI,MURKAN,NAROK,NAROK SOUTH,MOGONDO,DHMT,6,PRIV,"(-1.00547300000, 35.04317300000)",Private Clinics and Medical centres
0,SIGILAI CMC,0,RIFT VALLEY,TRANS MARA,PIRRAR,NJIPSHIP,NAROK,NAROK SOUTH,NJIPSHIP,DHMT,6,PRIV,"(-0.93184800000, 35.02213200000)",Private Clinics and Medical centres
0,ST THERESA OF JESUS ESOIT NAIBOR CLINIC,1823,RIFT VALLEY,TRANS MARA,KIRINDONI,ESOIT NAIBOR,NAROK,NAROK SOUTH,ESOIT NAIBOR,DHMT,6,PRIV,"(-1.06273700000, 34.98238900000)",Private Clinics and Medical centres
56,ST. ANNE CLINIC,0,RIFT VALLEY,TRANS MARA,LOLGORIAN,MOYOI,NAROK,NAROK SOUTH,LOLGORIAN,DHMT,6,PRIV,"(-1.21869500000, 34.77459200000)",Private Clinics and Medical centres
0,TAKITECH DISP,0,RIFT VALLEY,TRANS MARA,PIRRAR,OLOLMASANI,NAROK,NAROK SOUTH,ABOSSI,DHMT,6,PRIV,"(-0.94353500000, 35.04551000000)",Private Clinics and Medical centres
0,ANDERSON MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,ENDEBESS,CHEPCHOINA,TRANS NZOIA,ENDEBESS,KAPTEGA,DHMT,6,PRIV,"(1.20963600000, 34.80757200000)",Private Clinics and Medical centres
68,BARAKA CLINIC KITALE,2832,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,BIDII,ILRI MKT CENTRE,6,PRIV,"(1.02031000000, 35.00683200000)",Private Clinics and Medical centres
8,CHRISTIAN COMMUNITY CENTRE CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,BIDII,ILRI MKT CENTRES,6,PRIV,"(1.02031000000, 35.00683200000)",Private Clinics and Medical centres
71,CRESENT DAVINA MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,TRANS NZOIA,ENDEBESS,BONDENI(TNZOIA),DHMT,6,PRIV,"(1.02622700000, 34.99253200000)",Private Clinics and Medical centres
72,CRYSTAL CLINIC ( DR. USAGI),0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,BIDII,ILRI TOWNS,6,PRIV,"(1.02763500000, 35.01972600000)",Private Clinics and Medical centres
73,DR.  AMLANI CLINIC,2838,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,MILIMANI(CENTRAL),DHMT,6,PRIV,"(1.01172300000, 35.00994400000)",Private Clinics and Medical centres
87,DR. M'MBULIKA USAGI CLINIC,2836,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,TRANS NZOIA,ENDEBESS,BONDENI(TNZOIA),DHMT,6,PRIV,"(1.02977500000, 34.99151900000)",Private Clinics and Medical centres
94,ELICAON MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,SINYERERE,TRANS NZOIA,ENDEBESS,SINYERERE,DHMT,6,PRIV,"(1.07011600000, 35.12341400000)",Private Clinics and Medical centres
0,FAITH MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,CHEPSIRO,TRANS NZOIA,ENDEBESS,KIBUSWA,DHMT,6,PRIV,"(0.94698900000, 35.26298100000)",Private Clinics and Medical centres
96,FRIENDS CLINIC,0,RIFT VALLEY,TRANS-NZOIA,KIMININI,KIMININI,TRANS NZOIA,ENDEBESS,KIMININI(TNZOIA),DHMT,6,PRIV,"(0.96652300000, 34.97205700000)",Private Clinics and Medical centres
99,HIGH WAY CLINIC,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,SITATUNGA,TRANS NZOIA,ENDEBESS,SITATUNGA,DHMT,6,PRIV,"(1.05302500000, 35.10670500000)",Private Clinics and Medical centres
103,KAMBIMIWA MEDICAL CLINIC,2846,RIFT VALLEY,TRANS-NZOIA,KIMININI,KIMININI,TRANS NZOIA,ENDEBESS,KIMININI(TNZOIA),DHMT,6,PRIV,"(0.97349900000, 34.97345300000)",Private Clinics and Medical centres
105,KARAMOJA CLINIC,2862,RIFT VALLEY,TRANS-NZOIA,SABOTI,KINYORO,TRANS NZOIA,ENDEBESS,KINYORO,ILRI VILLAGES,6,PRIV,"(1.02000000000, 34.87000000000)",Private Clinics and Medical centres
106,KESOGON MEDICAL CENTRE,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,SINYERERE,TRANS NZOIA,ENDEBESS,SINYERERE,DHMT,6,PRIV,"(1.08092900000, 35.13530900000)",Private Clinics and Medical centres
111,KONY MEDICAL SERVICES,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,BIDII,DHMT,6,PRIV,"(1.02485600000, 35.00284900000)",Private Clinics and Medical centres
112,LITUNDA MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,KIMININI,KIMININI,TRANS NZOIA,ENDEBESS,KIMININI(TNZOIA),ILRI MKT CENTRE,6,PRIV,"(0.88368400000, 34.91371900000)",Private Clinics and Medical centres
116,MODERN CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,TRANS NZOIA,ENDEBESS,TUWAN,DHMT,6,PRIV,"(1.03278200000, 34.98919900000)",Private Clinics and Medical centres
117,MOI'S BRIDGE CLINIC,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,KAPLAMAI,TRANS NZOIA,ENDEBESS,KIMOSON,1:50000 MAPS,6,PRIV,"(0.89459500000, 35.11306300000)",Private Clinics and Medical centres
119,MRS.  ARARAS CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,TRANS NZOIA,ENDEBESS,KIPSONGO,DHMT,6,PRIV,"(1.01604900000, 35.00020800000)",Private Clinics and Medical centres
0,MUKIMBA CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,SUWERWA,TRANS NZOIA,ENDEBESS,KAPTERIT(TNZOIA),DHMT,6,PRIV,"(1.05243300000, 35.20210600000)",Private Clinics and Medical centres
122,MWANANCHI CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MATISI,TRANS NZOIA,ENDEBESS,MATISI(TNZOIA),DHMT,6,PRIV,"(1.00523100000, 34.97137700000)",Private Clinics and Medical centres
123,NATO CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,BIDII,DHMT,6,PRIV,"(1.02177300000, 35.00461100000)",Private Clinics and Medical centres
127,SACRED HEART CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,NAISAMBU,DHMT,6,PRIV,"(1.01910200000, 35.02774300000)",Private Clinics and Medical centres
0,TUIGOI MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,CHERANGANY,TRANS NZOIA,ENDEBESS,KACHIBORA,DHMT,6,PRIV,"(1.02817500000, 35.19494900000)",Private Clinics and Medical centres
134,WAKA MEDICAL CLINIC,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,MILIMANI(CENTRAL),DHMT,6,PRIV,"(1.01543700000, 35.01816400000)",Private Clinics and Medical centres
92,ABO MEMORIAL PHYSIOTHERAPY CLINIC,0,RIFT VALLEY,UASIN GISHU,SOY,KIBULGENY,UASIN GISHU,AINABKOI,KAMUKUNJI(UGISHU),ILRI MKT CENTRE,6,PRIV,"(0.52684900000, 35.26689300000)",Private Clinics and Medical centres
56,ALFRED ANYEGA MEMORY CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
57,BENSON MOTANYA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
58,BENSON OMWANDO RIANGA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
59,BETHSAIDA CLINIC,3030,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
60,BETHSAIDAH MEDICAL CLINIC,3464,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
61,BETHSEBA MACHUKI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
62,BETHWEL CHAMANA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
63,BOMONDO MEDICAL CLINIC,3459,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
64,CHARLES MAINYE OMBORI,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
65,CHEBILAT ROADSIDE CLINIC,3463,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
66,ELIZABETH AGATA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
67,ELKANA NYABUTI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
68,ENJOY CLINIC,3285,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
69,FAITH MEDICAL CLINIC,3944,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
70,FAMILY HEALTH SERVICES KAMERA,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
71,FAMILY SAVER CLINIC,3025,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
0,,0,,,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
72,GEOFFREY RUTTA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
73,GEORGE OPONDO CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
75,GESORE MEDICAL CLINIC,3470,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
76,GLORY M HEALTH CLINIC,3565,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
78,HARON ONCHIEK ABURI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
80,HEZRON AGWENYI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
82,JACK SISTERS CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
83,JAMES KICHANA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
84,JOHNSON MASIMBA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
85,JOSHUA MAOSA CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
88,KERINDO MEDICAL CLINIC,3465,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
90,KIBENCHO MEDICAL CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
92,MABARINI MEDICAL CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
93,MAERI CLINIC,3089,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
0,MAGURA DISP,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
97,MARGARETMASIKI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
98,MARY OMWOYO ONDIEKI CLINIC,0,NYANZA,KISII NORTH,,,,,,,6,PRIV,"(0E-11, 0E-11)",Private Clinics and Medical centres
